name,n_constr,n_vars,n_bounded_vars,continuous,integer,binary,folder,selected,all_bounded,optimal,optimum,oct_feas,oct_cost,oct_time,hand_checked,baron_cost,baron_time,baron_feas
st_e17,2,2,2,2,0,0,global,0,1,,376.2919323,true,270.6116923,0.851000071,true,376.2919323,0.095000029,true
st_e18,5,2,2,2,0,0,global,0,1,,-2.828427125,false,-2.829154638,1.888999939,true,-2.828427153,0.131000042,true
st_e19,3,2,2,2,0,0,global,0,1,,-118.7048598,true,-118.5643171,2.481999874,true,-118.7048598,0.190000057,true
st_e22,6,2,2,2,0,0,global,0,1,,-85.0,true,-84.99999999,2.171000004,true,-85.0,0.171000004,true
st_e23,3,2,2,2,0,0,global,0,1,,-1.083333333,true,-1.080009743,2.404000044,true,-1.083337667,0.177999973,true
st_e24,5,2,2,2,0,0,global,0,1,,2.999999999,true,3.0,3.760999918,true,2.999997,0.128000021,true
st_e26,5,2,2,2,0,0,global,0,1,,-185.7792,true,-185.7792,4.641000032,true,-185.7792,0.123000145,true
st_ht,4,2,2,2,0,0,global,0,1,,-1.6,true,-1.6,3.880000114,true,-1.6000048,0.154000044,true
ex6_2_11,2,3,3,3,0,0,global,0,1,,-2.67e-6,true,0.0069113005860277354,14.521999835968018,true,-1.14e-5,6.523999929,true
ex6_2_6,2,3,3,3,0,0,global,0,1,,-2.6e-6,true,0.00313936,8.045000076,true,-1.14e-5,4.280999899,true
ex6_2_8,2,3,3,3,0,0,global,0,1,,-0.027006349,true,0.000194228,6.726000071,true,-0.027015847,2.122000217,true
st_cqpjk2,2,3,3,3,0,0,global,1,1,-12.5,-12.5,true,-12.49781888,6.742000103,true,-12.5,0.105999947,true
st_e02,4,3,3,3,0,0,global,0,1,,201.1593341,true,201.1593256,4.123000145,true,201.1593341,0.105000019,true
st_e06,4,3,3,3,0,0,global,0,1,,0.0,false,Inf,1.356999874,true,0.0,0.094000101,true
st_e11,3,3,3,3,0,0,global,0,1,,189.3116297,true,221.6197939,4.229999781,true,189.3116297,0.131999969,true
ex6_2_12,3,4,4,4,0,0,global,0,1,,0.289194749,false,Inf,10.23300004,true,0.289185572,4.857000113,true
ex6_2_14,3,4,4,4,0,0,global,0,1,,-0.695357935,true,-0.496845821,14.96599984,true,Inf,0.648999929,false
ex6_2_9,3,4,4,4,0,0,global,0,1,,-0.034066184,false,Inf,11.29199982,true,-0.034075269,410.51,true
sample,3,4,4,4,0,0,global,0,1,,726.6793569,false,546.2318278,1.565000057,true,726.6793575,0.116000175,true
st_bpv1,5,4,4,4,0,0,global,0,1,,10.0,true,10.0,8.808999777,true,10.0,0.103999853,true
st_bpv2,6,4,4,4,0,0,global,0,1,,-8.0,true,-8.0,4.371999979,true,-8.0,0.152000189,true
st_e04,3,4,4,4,0,0,global,0,1,,5194.866244,false,Inf,4.083000183,true,5194.866244,0.253000021,true
st_e12,4,4,4,4,0,0,global,0,1,,-4.514201651,true,-4.514201652,5.264999866,true,-4.514201651,0.151000023,true
st_e41,3,4,4,4,0,0,global,0,1,,641.8235623,true,641.8235625,8.835999966,true,641.8222787,0.170000076,true
ex2_1_1,2,5,5,5,0,0,global,1,1,-17,-17.0,true,8.247280173,129.289,true,-17.0,410.5609999,true
ex3_1_2,7,5,5,5,0,0,global,0,1,,-30665.53867,true,-30665.53867,8.493999958,true,-30665.53867,0.204999924,true
ex8_1_7,6,5,5,5,0,0,global,0,1,,0.029310831,true,571.100163,38.2750001,true,0.02930583,0.476000071,true
st_e05,4,5,5,5,0,0,global,0,1,,7049.249272,true,7049.397572,3.055999994,true,7049.249272,0.26699996,true
ex6_2_10,4,6,6,6,0,0,global,0,1,,-3.051976126,true,-3.045492738,17.08200002,true,Inf,297.6389999,false
ex6_2_13,4,6,6,6,0,0,global,0,1,,-0.216209437,true,-0.21533376,28.89500022,true,-0.216219262,410.5340002,true
ex7_2_2,6,6,6,6,0,0,global,0,1,,-0.388811434,false,-0.388799828,16.03299999,true,-0.388815918,0.503000021,true
